"SCALE(3-1),SKIP_UPSCALING(false-true)",-,145.13
SCALE(3-1),+,134.09
"DRY_RUN(false-true),SCALE(3-1)",-,134.09
"PLATFORM(android-ios),SCALE(3-1)",-,65.89
DRY_RUN(false-true),-,22.19
"ANDROID_INCLUDE_LDPI_TVDPI(false-true),SCALE(3-1)",+,18.34
PLATFORM(android-ios),-,13.41
"DRY_RUN(false-true),PLATFORM(android-ios)",+,13.41
"ANTI_ALIASING(false-true),SCALE(3-1)",+,13.41
"PLATFORM(android-ios),SKIP_UPSCALING(false-true)",+,10.18
SKIP_UPSCALING(false-true),-,10.18
"DRY_RUN(false-true),SKIP_UPSCALING(false-true)",+,10.18
"ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true),SCALE(3-1)",+,7.94
"ANDROID_INCLUDE_LDPI_TVDPI(false-true),PLATFORM(android-ios)",-,4.87
"ANDROID_INCLUDE_LDPI_TVDPI(false-true),DRY_RUN(false-true)",-,4.87
ANDROID_INCLUDE_LDPI_TVDPI(false-true),+,4.87
"ANTI_ALIASING(false-true),DRY_RUN(false-true)",-,1.58
ANTI_ALIASING(false-true),+,1.58
"ANTI_ALIASING(false-true),PLATFORM(android-ios)",-,0.90
"ANTI_ALIASING(false-true),SKIP_UPSCALING(false-true)",-,0.79
ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true),+,0.14
"ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true),DRY_RUN(false-true)",-,0.14
"ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true),SKIP_UPSCALING(false-true)",-,0.14
"ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true),PLATFORM(android-ios)",-,0.14
"ANDROID_INCLUDE_LDPI_TVDPI(false-true),ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true)",-,0.07
